id,name,slug,universityType,populationType,cost,undergraduates,admissionRate,freshmanSatisfaction,inStateTuition,outOfStateTuition,admissionDeadline,chance,applicationStatus,financialAidStatus,address.street1,address.city,address.state,address.zipCode
2095,Georgia Gwinnett College,georgia-gwinnett-college,Public,Coed,,12831.0,"94% of 4,853 applicants were admitted",67.3,"   $5,752","  $16,734",June 1,,,,1000 University Center Lane,Lawrenceville,GA,30043
1478,Georgia Institute of Technology,georgia-institute-of-technology,Public,Coed,$$,16159.0,"21% of 36,856 applicants were admitted",97.1,"  $12,682","  $33,794",January 4,,,,"225 North Avenue, NW",Atlanta,GA,30332-0001
1504,Georgia Regents University,georgia-regents-university,Public,Coed,$,9137.0,"47% of 12,106 applicants were admitted",75.1,"   $8,644","  $23,646",July 1,,,,1120 15th Street,Augusta,GA,30912
1502,Georgia Southern University,georgia-southern-university,Public,Coed,$$,22715.0,"54% of 13,858 applicants were admitted",78.0,"   $7,556","  $21,374",May 1,,,,1332 Southern Drive,Statesboro,GA,30458
1500,Georgia Southwestern State University,georgia-southwestern-state-university,Public,Coed,$,2498.0,"58% of 1,783 applicants were admitted",69.0,"   $6,336","  $19,412",July 21,,,,800 Georgia Southwestern State University Drive,Americus,GA,31709-4693
1206,Georgia State University,georgia-state-university,Public,Coed,$$,27969.0,"57% of 20,949 applicants were admitted",79.9,"   $8,948","  $27,986",April 1,,,,33 Gilmer Street,Atlanta,GA,30302-3083
833,Georgian Court University,georgian-court-university,Private,Coed,$$$,1793.0,"71% of 1,934 applicants were admitted",79.0,"  $33,768","  $33,768",Rolling,,,,900 Lakewood Avenue,Lakewood,NJ,08701-2697
793,Gettysburg College,gettysburg-college,Private,Coed,$$$,2371.0,"48% of 5,916 applicants were admitted",91.0,"  $56,390","  $56,390",January 15,,,,300 North Washington Street,Gettysburg,PA,17325-1483
1479,Glenville State College,glenville-state-college,Public,Coed,$,1577.0,"100% of 2,550 applicants were admitted",60.0,"   $7,308","  $16,518",Rolling,,,,200 High Street,Glenville,WV,26351-1200
1822,Global University,global-university,Private,Coed,,4176.0,Not reported,,Not reported,Not reported,Rolling,,,,1211 South Glenstone Avenue,Springfield,MO,65804
1371,God's Bible School and College,gods-bible-school-and-college,Private,Coed,,292.0,90% of 93 applicants were admitted,69.0,Not reported,Not reported,August 18,,,,1810 Young Street,Cincinnati,OH,45202-6838
1066,Goddard College,goddard-college,Private,Coed,,194.0,56% of 16 applicants were admitted,66.0,Not reported,Not reported,April 1,,,,123 Pitkin Road,Plainfield,VT,05667-9432
1157,Golden Gate University,golden-gate-university,Private,Coed,,475.0,Not reported,50.0,Not reported,Not reported,Rolling,,,,536 Mission Street,San Francisco,CA,94105-2968
1034,Goldey-Beacom College,goldey-beacom-college,Private,Coed,,625.0,Not reported,85.0,Not reported,Not reported,,,,,4701 Limestone Road,Wilmington,DE,19808-1999
1409,Goldfarb School of Nursing at Barnes-Jewish College,goldfarb-school-of-nursing-at-barnes-jewish-college,Private,Women Only,,630.0,84% of 429 applicants were admitted,,"  $21,340","  $21,340",,,,,4483 Duncan Avenue,St. Louis,MO,63110
732,Gonzaga University,gonzaga-university,Private,Coed,$$$,5238.0,"62% of 9,279 applicants were admitted",94.0,"  $46,920","  $46,920",December 1,,,,502 East Boone Avenue,Spokane,WA,99258
446,Gordon College,gordon-college,Private,Coed,$$$,1507.0,"74% of 2,624 applicants were admitted",83.0,"  $39,230","  $39,230",Rolling,,,,255 Grapevine Road,Wenham,MA,01984-1899
1758,Goshen College,goshen-college,Private,Coed,$$,826.0,"65% of 1,278 applicants were admitted",76.0,"  $35,230","  $35,230",Rolling,,,,1700 South Main Street,Goshen,IN,46526-4794
1814,Goucher College,goucher-college,Private,Coed,$$$,1449.0,"81% of 2,610 applicants were admitted",76.9,"  $47,300","  $47,300",January 15,,,,1021 Dulaney Valley Road,Baltimore,MD,21204-2794
804,Governors State University,governors-state-university,Public,Coed,$$,3232.0,"46% of 1,434 applicants were admitted",51.7,"  $12,616","  $22,006",,,,,One University Parkway,University Park,IL,60484
1360,Grace Bible College,grace-bible-college,Private,Coed,,207.0,34% of 158 applicants were admitted,80.0,Not reported,Not reported,July 15,,,,"1011 Aldon Street SW, PO Box 910",Grand Rapids,MI,49509-0910
365,Grace College,grace-college,Private,Coed,$$,1934.0,"78% of 4,204 applicants were admitted",80.0,"  $24,768","  $24,768",August 1,,,,200 Seminary Drive,Winona Lake,IN,46590-1294
1017,Graceland University,graceland-university-lamoni-ia,Private,Coed,$$,1038.0,"58% of 3,004 applicants were admitted",66.0,"  $31,320","  $31,320",Rolling,,,,1 University Place,Lamoni,IA,50140
3432,Graceland University,graceland-university-independence-mo,,Coed,$$,,Not reported,,"  $30,420","  $30,420",,,,,1401 West Truman Road,Independence,MO,64050-3434
1032,Grambling State University,grambling-state-university,Public,Coed,$$,4153.0,"97% of 3,109 applicants were admitted",,"  $16,706","  $16,706",Rolling,,,,403 Main Street,Grambling,LA,71245
657,Grand Canyon University,grand-canyon-university,Private for-profit,Coed,,,Not reported,,Not reported,Not reported,Rolling,,,,"3300 West Camelback Road, PO Box 11097",Phoenix,AZ,85017-1097
421,Grand Valley State University,grand-valley-state-university,Public,Coed,$$,21019.0,"83% of 16,478 applicants were admitted",84.5,"  $12,860","  $18,296",,,,,1 Campus Drive,Allendale,MI,49401-9403
942,Grand View University,grand-view-university,Private,Coed,$$,1731.0,"96% of 1,526 applicants were admitted",67.0,"  $29,960","  $29,960",August 15,,,,1200 Grandview Avenue,Des Moines,IA,50316-1599
1244,Granite State College,granite-state-college,Public,Coed,,1729.0,100% of 272 applicants were admitted,48.0,"   $7,761","   $8,985",Rolling,,,,25 Hall Street,Concord,NH,03301
1846,Grantham University,grantham-university,Private for-profit,Coed,,7898.0,Not reported,,Not reported,Not reported,Rolling,,,,16025 West 113th Street,Lenexa,KS,66219
3270,Great Basin College,great-basin-college,Public,Coed,,3362.0,61% of 804 applicants were admitted,65.0,Not reported,Not reported,Rolling,,,,1500 College Parkway,Elko,NV,89801-3348
1293,Great Lakes Christian College,great-lakes-christian-college,Private,Coed,$$,225.0,Not reported,53.0,"  $17,170","  $17,170",August 1,,,,6211 West Willow Highway,Lansing,MI,48917-1299
838,Greensboro College,greensboro-college,Private,Coed,$$,894.0,"41% of 2,192 applicants were admitted",54.6,"  $29,140","  $29,140",Rolling,,,,815 West Market Street,Greensboro,NC,27401-1875
998,Greenville College,greenville-college,Private,Coed,$$,913.0,"57% of 1,304 applicants were admitted",61.5,"  $28,840","  $28,840",Rolling,,,,315 East College Avenue,Greenville,IL,62246-0159
997,Grinnell College,grinnell-college,Private,Coed,$$$,1627.0,"23% of 8,004 applicants were admitted",94.0,"  $56,680","  $56,680",January 15,,,,1103 Park Street,Grinnell,IA,50112-1690
445,Grove City College,grove-city-college,Private,Coed,$$,2272.0,"79% of 1,697 applicants were admitted",90.0,"  $18,470","  $18,470",January 20,,,,100 Campus Drive,Grove City,PA,16127-2104
1041,Guilford College,guilford-college,Private,Coed,$$$,1525.0,"75% of 3,305 applicants were admitted",67.0,"  $40,120","  $40,120",Rolling,,,,5800 West Friendly Avenue,Greensboro,NC,27410-4173
1750,Gustavus Adolphus College,gustavus-adolphus-college,Private,Coed,$$$,2235.0,"69% of 4,957 applicants were admitted",87.7,"  $48,460","  $48,460",Rolling,,,,800 West College Avenue,St. Peter,MN,56082-1498
2021,Gutenberg College,gutenberg-college,Private,Coed,$$,14.0,100% of 10 applicants were admitted,75.0,"  $14,500","  $14,500",March 1,,,,1883 University Street,Eugene,OR,97403
796,Gwynedd-Mercy University,gwynedd-mercy-university,Private,Coed,$$$,2157.0,"95% of 1,030 applicants were admitted",78.0,"  $35,600","  $35,600",Rolling,,,,"Sumneytown Pike, PO Box 901",Gwynedd Valley,PA,19437-0901
3374,Hallmark University,hallmark-university,Private,Coed,$,872.0,Not reported,47.0,"  $13,815","  $13,815",Rolling,,,,10401 IH 10 West,San Antonio,TX,78230
414,Hamilton College,hamilton-college,Private,Coed,$$$,1924.0,"16% of 8,339 applicants were admitted",94.0,"  $58,510","  $58,510",January 1,,,,198 College Hill Road,Clinton,NY,13323-1296
1820,Hamilton Technical College,hamilton-technical-college,Private for-profit,Coed,,,Not reported,,Not reported,Not reported,Rolling,,,,1011 East 53rd Street,Davenport,IA,52807-2653
1002,Hamline University,hamline-university,Private,Coed,$$$,2088.0,"68% of 4,602 applicants were admitted",78.0,"  $44,230","  $44,230",January 15,,,,1536 Hewitt Avenue,St. Paul,MN,55104-1284
1480,Hampden-Sydney College,hampden-sydney-college,Private,Men Only,$$$,993.0,"57% of 3,056 applicants were admitted",79.2,"  $48,110","  $48,110",February 1,,,,PO Box 859,Hampden-Sydney,VA,23943
415,Hampshire College,hampshire-college,Private,Coed,$$$,745.0,"2% of 2,485 applicants were admitted",66.7,"  $52,068","  $52,068",January 15,,,,893 West Street,Amherst,MA,01002
1030,Hampton University,hampton-university,Private,Coed,$$,3799.0,"36% of 12,130 applicants were admitted",77.0,"  $29,412","  $29,412",March 1,,,,100 Cemetery Road,Hampton,VA,23668
953,Hannibal-LaGrange University,hannibal-lagrange-university,Private,Coed,$$,641.0,Not reported,,"  $23,590","  $23,590",Rolling,,,,2800 Palmyra Road,Hannibal,MO,63401-1999
366,Hanover College,hanover-college,Private,Coed,$$$,1070.0,"65% of 3,127 applicants were admitted",79.0,"  $39,650","  $39,650",March 1,,,,517 Ball Drive,Hanover,IN,47243
1682,Hardin-Simmons University,hardin-simmons-university,Private,Coed,$$,1742.0,"84% of 2,189 applicants were admitted",67.0,"  $31,366","  $31,366",Rolling,,,,2200 Hickory Street,Abilene,TX,79698-0001
1035,Harding University,harding-university,Private,Coed,$$,3974.0,"68% of 1,927 applicants were admitted",85.0,"  $21,540","  $21,540",Rolling,,,,915 East Market Avenue,Searcy,AR,72149-0001
1007,Harris-Stowe State University,harris-stowe-state-university,Public,Coed,$,1630.0,"52% of 6,669 applicants were admitted",55.4,"   $5,484","  $10,116",,,,,3026 Laclede Avenue,St. Louis,MO,63103-2136
2024,Harrisburg University of Science and Technology,harrisburg-university-of-science-and-technology,Private,Coed,$$,511.0,Not reported,54.0,"  $23,900","  $23,900",Rolling,,,,326 Market Street,Harrisburg,PA,17101
795,Hartwick College,hartwick-college,Private,Coed,$$$,1176.0,"89% of 3,019 applicants were admitted",69.2,"  $46,926","  $46,926",Rolling,,,,"One Hartwick Drive, PO Box 4020",Oneonta,NY,13820-4020
444,Harvard College,harvard-college,Private,Coed,$$$,6755.0,"5% of 43,330 applicants were admitted",97.0,"  $51,925","  $51,925",January 1,,,,Massachusetts Hall,Cambridge,MA,02138
850,Harvey Mudd College,harvey-mudd-college,Private,Coed,$$$,895.0,"14% of 4,045 applicants were admitted",97.4,"  $58,660","  $58,660",January 5,,,,301 Platt Boulevard,Claremont,CA,91711-5994
1848,Haskell Indian Nations University,haskell-indian-nations-university,Public,Coed,,894.0,Not reported,,Not reported,Not reported,July 30,,,,"155 Indian Avenue, #5031",Lawrence,KS,66046-4800
1101,Hastings College,hastings-college,Private,Coed,$$,1183.0,"71% of 1,688 applicants were admitted",74.0,"  $30,050","  $30,050",Rolling,,,,710 North Turner Avenue,Hastings,NE,68901
1022,Haverford College,haverford-college,Private,Coed,$$$,1317.0,"16% of 4,963 applicants were admitted",96.0,"  $58,900","  $58,900",January 15,,,,370 Lancaster Avenue,Haverford,PA,19041-1392
652,Hawaii Pacific University,hawaii-pacific-university,Private,Coed,$$$,3560.0,"75% of 6,551 applicants were admitted",65.0,"  $27,850","  $27,850",January 15,,,,1 Aloha Tower Drive,Honolulu,HI,96813
1849,Hebrew Theological College,hebrew-theological-college,Private,U,,415.0,Not reported,,Not reported,Not reported,August 15,,,,7135 North Carpenter Road,Skokie,IL,60077-3263
962,Heidelberg University,heidelberg-university,Private,Coed,$$,1059.0,"76% of 1,721 applicants were admitted",67.0,"  $31,000","  $31,000",Rolling,,,,310 East Market Street,Tiffin,OH,44883-2462
1214,Hellenic College ,hellenic-college,Private,Coed,,92.0,65% of 68 applicants were admitted,81.0,Not reported,Not reported,April 1,,,,50 Goddard Avenue,Brookline,MA,02445-7496
1808,Henderson State University,henderson-state-university,Public,Coed,,3066.0,"66% of 4,072 applicants were admitted",60.0,Not reported,Not reported,July 15,,,,1100 Henderson Street,Arkadelphia,AR,71999-0001
1507,Hendrix College,hendrix-college,Private,Coed,$$$,1108.0,"70% of 1,628 applicants were admitted",,"  $45,790","  $45,790",March 1,,,,1600 Washington Avenue,Conway,AR,72032
1328,Heritage Christian University,heritage-christian-university,Private,Men Only,$$,63.0,100% of 8 applicants were admitted,33.0,"  $11,532","  $11,532",Rolling,,,,PO Box HCU,Florence,AL,35630
284,Heritage University,heritage-university,Private,Coed,,861.0,Not reported,68.0,"  $18,188","  $18,188",,,,,3240 Fort Road,Toppenish,WA,98948-9599
3271,Herzing University - Birmingham,herzing-university-birmingham,Private for-profit,Coed,,,Not reported,,Not reported,Not reported,,,,,280 West Valley Avenue,Birmingham,AL,35209
3273,Herzing University - Toledo,herzing-university-toledo,Private for-profit,Coed,,,Not reported,,Not reported,Not reported,,,,,5212 Hill Avenue,Toledo,OH,43615
3038,Herzing University Atlanta,herzing-university-atlanta,Private for-profit,Coed,,,Not reported,,Not reported,Not reported,,,,,"3393 Peachtree Road, Suite 1003",Atlanta,GA,30326
3167,Herzing University Brookfield,herzing-university-brookfield,Private for-profit,Coed,,,Not reported,,Not reported,Not reported,,,,,555 South Executive Drive,Brookfield,WI,53005
3013,Herzing University Kenner,herzing-university-kenner,Private for-profit,Coed,,,Not reported,,Not reported,Not reported,,,,,2500 Williams Boulevard,Kenner,LA,70062
3168,Herzing University Kenosha,herzing-university-kenosha,Private for-profit,Coed,,,Not reported,,Not reported,Not reported,,,,,4006 Washington Road,Kenosha,WI,53144
3045,Herzing University Madison,herzing-university-madison,Private for-profit,Coed,,,Not reported,,Not reported,Not reported,,,,,5218 East Terrace Drive,Madison,WI,53718
1481,High Point University,high-point-university,Private,Coed,$$$,4591.0,"75% of 11,298 applicants were admitted",82.9,"  $36,268","  $36,268",March 1,,,,One University Parkway,High Point,NC,27268
1269,Hilbert College,hilbert-college,Private,Coed,$$,746.0,81% of 968 applicants were admitted,71.0,"  $22,350","  $22,350",Rolling,,,,5200 South Park Avenue,Hamburg,NY,14075-1597
1759,Hillsdale College,hillsdale-college,Private,Coed,$$,1468.0,"48% of 1,593 applicants were admitted",96.0,"  $29,482","  $29,482",April 1,,,,33 East College Street,Hillsdale,MI,49242-1298
1783,Hiram College,hiram-college,Private,Coed,$$,1267.0,"60% of 2,834 applicants were admitted",68.0,"  $24,500","  $24,500",Rolling,,,,11715 Garfield Road,Hiram,OH,44234
417,Hobart and William Smith Colleges,hobart-and-william-smith-colleges,Private,Coed,$$$,2061.0,"66% of 3,439 applicants were admitted",88.0,"  $58,650","  $58,650",February 1,,,,300 Pulteney Street,Geneva,NY,14456
1852,Hobe Sound Bible College,hobe-sound-bible-college,Private,Coed,$,,100% of 29 applicants were admitted,,"   $6,540","   $6,540",Rolling,,,,PO Box 1065,Hobe Sound,FL,33475-1065
558,Hodges University,hodges-university,Private,Coed,,1487.0,Not reported,,"  $14,180","  $14,180",Rolling,,,,2655 Northbrooke Drive,Naples,FL,34119
418,Hofstra University,hofstra-university,Private,Coed,$$$,6498.0,"68% of 24,425 applicants were admitted",83.0,"  $47,510","  $47,510",Rolling,,,,100 Hofstra University,Hempstead,NY,11549
1482,Hollins University,hollins-university,Private,Women Only,$$$,668.0,"71% of 3,244 applicants were admitted",74.9,"  $40,010","  $40,010",February 1,,,,"7916 Williamson Road, PO Box 9708",Roanoke,VA,24020
1320,Holy Apostles College and Seminary,holy-apostles-college-and-seminary,Private,Coed,,202.0,100% of 15 applicants were admitted,88.0,"   $8,740","   $8,740",Rolling,,,,33 Prospect Hill Road,Cromwell,CT,06416-2005
2048,Holy Cross College,holy-cross-college,Private,Coed,,601.0,91% of 638 applicants were admitted,65.0,Not reported,Not reported,Rolling,,,,"54515 State Road 933 North, PO Box 308",Notre Dame,IN,46556-0308
419,Holy Family University,holy-family-university,Private,Coed,$$,2093.0,"71% of 1,429 applicants were admitted",78.4,"  $30,346","  $30,346",Rolling,,,,9801 Frankford Avenue,Philadelphia,PA,19114
713,Holy Names University,holy-names-university,Private,Coed,$$$,591.0,"53% of 2,713 applicants were admitted",82.0,"  $39,316","  $39,316",Rolling,,,,3500 Mountain Boulevard,Oakland,CA,94619-1699
1853,Holy Trinity Orthodox Seminary,holy-trinity-orthodox-seminary,Private,Men Only,$$,77.0,Not reported,,"  $21,190","  $21,190",June 1,,,,PO Box 36,Jordanville,NY,13361
1508,Hood College,hood-college,Private,Coed,$$$,1092.0,"71% of 1,562 applicants were admitted",71.0,"  $41,060","  $41,060",Rolling,,,,401 Rosemont Avenue,Frederick,MD,21701-8575
1760,Hope College,hope-college,Private,Coed,$$,3056.0,"86% of 3,748 applicants were admitted",91.5,"  $35,330","  $35,330",Rolling,,,,"141 East 12th Street, PO Box 9000",Holland,MI,49422-9000
1113,Hope International University,hope-international-university,Private,Coed,$$,651.0,37% of 685 applicants were admitted,70.8,"  $34,450","  $34,450",Rolling,,,,2500 East Nutwood Avenue,Fullerton,CA,92831-3138
3274,Horizon University,horizon-university,Private,Coed,,,Not reported,,"   $9,300","   $9,300",,,,,7700 Indian Lake Road,Indianapolis,IN,46236
442,Houghton College,houghton-college,Private,Coed,$$,1043.0,"75% of 1,074 applicants were admitted",86.0,"  $32,488","  $32,488",Rolling,,,,One Willard Avenue,Houghton,NY,14744
703,Houston Baptist University,houston-baptist-university,Private,Coed,$$,2632.0,"70% of 8,441 applicants were admitted",70.5,"  $34,500","  $34,500",Rolling,,,,7502 Fondren Road,Houston,TX,77074-3298
1105,Howard Payne University,howard-payne-university,Private,Coed,$$,715.0,"59% of 1,305 applicants were admitted",48.0,"  $28,090","  $28,090",Rolling,,,,1000 Fisk Street,Brownwood,TX,76801-2715
1024,Howard University,howard-university,Private,Coed,$$,6526.0,"36% of 21,006 applicants were admitted",86.3,"  $28,440","  $28,440",February 15,,,,"2400 Sixth Street, NW",Washington,DC,20059-0002
663,Humboldt State University,humboldt-state-university,Public,Coed,$$,6443.0,"9% of 16,335 applicants were admitted",75.0,"   $7,858","  $19,738",April 30,,,,1 Harpst Street,Arcata,CA,95521-8299
1267,Humphreys College,humphreys-college,Private,Coed,,317.0,Not reported,100.0,"  $14,292","  $14,292",Rolling,,,,6650 Inglewood Avenue,Stockton,CA,95207-3896
835,Hunter College,hunter-college,Public,Coed,$,17212.0,"36% of 31,030 applicants were admitted",85.3,"   $7,180","  $18,450",,,,,695 Park Avenue,New York,NY,10065-5085
1483,Huntingdon College,huntingdon-college,Private,Coed,$$,1102.0,"56% of 2,074 applicants were admitted",65.0,"  $27,400","  $27,400",Rolling,,,,1500 East Fairview Avenue,Montgomery,AL,36106-2148
1766,Huntington University,huntington-university,Private,Coed,$$,996.0,90% of 789 applicants were admitted,,"  $26,180","  $26,180",August 1,,,,2303 College Avenue,Huntington,IN,46750-1299
3436,Huntington University of Health Sciences,huntington-university-of-health-sciences,,Coed,,117.0,100% of 5 applicants were admitted,,"   $8,275","   $8,275",Rolling,,,,117 Legacy View Way,Knoxville,TN,37918
3341,Huntsville Bible College,huntsville-bible-college,Private,Coed,,,Not reported,,Not reported,Not reported,,,,,904 Oakwood Avenue,Huntsville,AL,35811-1632
443,Husson University,husson-university,Private,Coed,$$,2866.0,"85% of 2,529 applicants were admitted",74.0,"  $19,772","  $19,772",Rolling,,,,1 College Circle,Bangor,ME,04401-2999
1103,Huston-Tillotson University,huston-tillotson-university,Private,Coed,$$,1112.0,"63% of 2,766 applicants were admitted",56.2,"  $14,653","  $14,653",,,,,900 Chicon Street,Austin,TX,78702-2795
1099,Idaho State University,idaho-state-university,Public,Coed,,10365.0,"100% of 4,248 applicants were admitted",64.0,Not reported,Not reported,Rolling,,,,921 South 8th Avenue,Pocatello,ID,83209
1000,Illinois College,illinois-college,Private,Coed,$$,1057.0,"78% of 3,735 applicants were admitted",78.2,"  $33,090","  $33,090",Rolling,,,,1101 West College Avenue,Jacksonville,IL,62650-2299
1004,Illinois Institute of Technology,illinois-institute-of-technology,Private,Coed,$$$,3144.0,"60% of 5,049 applicants were admitted",88.2,"  $47,296","  $47,296",August 1,,,,10 West 35th Street,Chicago,IL,60616
806,Illinois State University,illinois-state-university,Public,Coed,$$,18250.0,"82% of 16,151 applicants were admitted",78.6,"  $14,832","  $26,832",April 1,,,,100 N University St,Normal,IL,61790
941,Illinois Wesleyan University,illinois-wesleyan-university,Private,Coed,$$$,1629.0,"61% of 3,719 applicants were admitted",84.0,"  $51,336","  $51,336",Rolling,,,,PO Box 2900,Bloomington,IL,61702-2900
420,Immaculata University,immaculata-university,Private,Coed,$$,1503.0,"81% of 1,969 applicants were admitted",85.7,"  $27,750","  $27,750",Rolling,,,,1145 King Road,Immaculata,PA,19345
1828,Independence University,independence-university,Private for-profit,Coed,,,Not reported,,Not reported,Not reported,Rolling,,,,"4021 South 700 East, Suite 400",Salt Lake City,UT,84107
368,Indiana Institute of Technology,indiana-institute-of-technology,Private,Coed,$$,1489.0,"60% of 3,248 applicants were admitted",69.0,"  $28,000","  $28,000",Rolling,,,,1600 East Washington Boulevard,Fort Wayne,IN,46803-1297
1765,Indiana State University,indiana-state-university,Public,Coed,$$,10216.0,"90% of 10,008 applicants were admitted",65.0,"   $9,466","  $20,570",Rolling,,,,210 North Seventh Street,Terre Haute,IN,47809
422,Indiana University - Purdue University Fort Wayne,indiana-university-purdue-university-fort-wayne,Public,Coed,$$,6747.0,"83% of 6,287 applicants were admitted",57.0,"   $9,708","  $21,741",Rolling,,,,2101 East Coliseum Boulevard,Fort Wayne,IN,46805-1499
1006,Indiana University - Purdue University Indianapolis,indiana-university-purdue-university-indianapolis,Public,Coed,$$,21246.0,"81% of 13,339 applicants were admitted",71.6,"   $9,701","  $30,710",Rolling,,,,420 University Boulevard,Indianapolis,IN,46202
815,Indiana University Bloomington,indiana-university-bloomington,Public,Coed,$$,33301.0,"78% of 42,902 applicants were admitted",90.2,"  $10,947","  $36,512",February 1,,,,107 South Indiana Avenue,Bloomington,IN,47405-7000
1237,Indiana University East,indiana-university-east,Public,Coed,,3500.0,"63% of 2,316 applicants were admitted",63.0,"   $7,527","  $19,978",Rolling,,,,2325 Chester Boulevard,Richmond,IN,47374-1289
369,Indiana University Kokomo,indiana-university-kokomo,Public,Coed,,2912.0,"80% of 2,499 applicants were admitted",60.2,"   $7,527","  $19,978",Rolling,,,,2300 South Washington Street,Kokomo,IN,46902-9003
999,Indiana University Northwest,indiana-university-northwest,Public,Coed,,3534.0,"80% of 2,182 applicants were admitted",65.9,"   $7,527","  $19,978",Rolling,,,,3400 Broadway,Gary,IN,46408-1197
423,Indiana University of Pennsylvania,indiana-university-of-pennsylvania,Public,Coed,$$,8234.0,"93% of 10,061 applicants were admitted",72.3,"  $13,144","  $17,464",Rolling,,,,1011 South Drive,Indiana,PA,15705
876,Indiana University South Bend,indiana-university-south-bend,Public,Coed,$,4707.0,"82% of 3,011 applicants were admitted",63.3,"   $7,527","  $19,978",Rolling,,,,1700 Mishawaka Avenue,South Bend,IN,46615
1001,Indiana University Southeast,indiana-university-southeast,Public,Coed,$,4461.0,"82% of 2,820 applicants were admitted",61.5,"   $6,922","  $19,978",Rolling,,,,4201 Grant Line Road,New Albany,IN,47150-6405
805,Indiana Wesleyan University,indiana-wesleyan-university,Private,Coed,$$,2799.0,"72% of 3,796 applicants were admitted",82.2,"  $25,980","  $25,980",Rolling,,,,4201 South Washington Street,Marion,IN,46953-4974
3275,Institute of American Indian Arts,institute-of-american-indian-arts,Public,Coed,$$,570.0,Not reported,,"   $4,921","   $4,921",Rolling,,,,83 Avan Nu Po Road,Santa Fe,NM,87508
1425,Inter American University of Puerto Rico - Aguadilla Campus,inter-american-university-of-puerto-rico-aguadilla-campus,Private,Coed,,3667.0,Not reported,,"   $5,254","   $5,254",,,,,Call Box 20000,Aguadilla,PR,00605
1426,Inter American University of Puerto Rico - Arecibo Campus,inter-american-university-of-puerto-rico-arecibo-campus,Private,Coed,,4547.0,Not reported,74.0,Not reported,Not reported,Rolling,,,,PO Box 4050,Arecibo,PR,00614-4050
1427,Inter American University of Puerto Rico - Barranquitas Campus,inter-american-university-of-puerto-rico-barranquitas-campus,Private,Coed,,1514.0,"90% of 1,166 applicants were admitted",71.0,"   $6,432","   $6,432",Rolling,,,,PO Box 517,Barranquitas,PR,00794
1428,Inter American University of Puerto Rico - Bayamon Campus,inter-american-university-of-puerto-rico-bayamon-campus,Private,Coed,$$,4396.0,"27% of 3,639 applicants were admitted",76.0,"   $6,012","   $6,012",,,,,500 Dr. John Will Harris Road,Bayamón,PR,00957
1429,Inter American University of Puerto Rico - Fajardo Campus,inter-american-university-of-puerto-rico-fajardo-campus,Private,Coed,$,1816.0,78% of 852 applicants were admitted,74.0,"   $8,976","   $8,976",Rolling,,,,Call Box 70003,Fajardo,PR,00738-7003
1430,Inter American University of Puerto Rico - Guayama Campus,inter-american-university-of-puerto-rico-guayama-campus,Private,Coed,,1605.0,43% of 708 applicants were admitted,74.0,Not reported,Not reported,August 1,,,,Call Box 10004,Guayama,PR,00785
3020,Inter American University of Puerto Rico - Metropolitan Campus,inter-american-university-of-puerto-rico-metropolitan-campus,Private,Coed,,5508.0,"26% of 3,136 applicants were admitted",74.0,"   $8,796","   $8,796",May 15,,,,PO Box 191293,San Juan,PR,00919-1293
1432,Inter American University of Puerto Rico - Ponce Campus,inter-american-university-of-puerto-rico-ponce-campus,Private,Coed,,4868.0,"56% of 1,646 applicants were admitted",76.0,Not reported,Not reported,May 15,,,,104 Industrial Park Turpò RD 1,Mercedita,PR,00715-1602
277,Inter American University of Puerto Rico - San German Campus,inter-american-university-of-puerto-rico-san-german-campus,Private,Coed,$,3766.0,"44% of 1,929 applicants were admitted",80.0,"   $6,432","   $6,432",,,,,PO Box 5100,San Germán,PR,00683-5008
1439,Interior Designers Institute,interior-designers-institute,Private for-profit,Coed,,468.0,Not reported,,Not reported,Not reported,,,,,1061 Camelback Road,Newport Beach,CA,92660
2013,International Baptist College,international-baptist-college,Private,Coed,,83.0,Not reported,,Not reported,Not reported,August 20,,,,2211 West Germann Road,Chandler,AZ,85286
3036,International Business College,international-business-college,Private for-profit,Coed,,372.0,75% of 764 applicants were admitted,,Not reported,Not reported,,,,,5699 Coventry Lane,Fort Wayne,IN,46804
582,International Fine Arts College,international-fine-arts-college,Private for-profit,Coed,,,Not reported,,Not reported,Not reported,,,,,"1501 Biscayne Boulevard, Suite 100",Miami,FL,33132-1418
439,Iona College,iona-college,Private,Coed,$$$,2981.0,"84% of 9,965 applicants were admitted",72.0,"  $41,580","  $41,580",February 15,,,,715 North Avenue,New Rochelle,NY,10801-1890
1784,Iowa State University,iowa-state-university,Public,Coed,$$,29621.0,"92% of 18,246 applicants were admitted",88.0,"   $9,320","  $24,508",Rolling,,,,100 Enrollment Services Center,Ames,IA,50011
808,Iowa Wesleyan College,iowa-wesleyan-college,Private,Coed,,473.0,"41% of 1,696 applicants were admitted",58.0,Not reported,Not reported,Rolling,,,,601 North Main Street,Mount Pleasant,IA,52641-1398
1013,Ithaca College,ithaca-college,Private,Coed,$$$,5852.0,"71% of 14,626 applicants were admitted",87.0,"  $46,610","  $46,610",February 1,,,,953 Danby Road,Ithaca,NY,14850
1048,Jackson State University,jackson-state-university,Public,Coed,$,1919.0,"69% of 7,680 applicants were admitted",53.3,"   $7,946","  $19,174",,,,,1400 John R Lynch Street,Jackson,MS,39217
